proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
Merak mengigal di hutan,"Orang 1: Pak, kenapa Pak Darmawan tidak pernah pulang ke kampung halamannya? Orang 2:  Karena di kota tempat tinggalnya, beliau lebih dihargai, sedangkan di kampung halamannya beliau seperti merak mengigal di hutan.","berpangkat besar dan tinggi kedudukan di negeri orang, tidak dirasakan dan tidak tampak oleh sanak saudara.",Pak Darmawan terlalu sibuk untuk kembali ke kampung halamannya.,Pak Darmawan terlalu tinggi jabatannya untuk kembali ke kampung halamannya.,1.0,b
Anjing mengulangi bangkai,"Orang 1: Tahu nggak siapa yang selalu datang ke tempat itu? Orang 2: Siapa?   Orang 1: Si Asep, meskipun sudah ditegur berkali-kali.   Orang 2: Anjing mengulangi bangkai.",lelaki bejat yang tak bosan-bosannya mendatangi perempuan jalang (pelacur).,Asep menolak untuk belajar dari kesalahan di masa lalu.,Asep telah belajar dari kesalahan masa lalu.,1.0,a
"Jalan mati lagi dicoba, ini pula jalan binasa","Orang 1: Adikku selalu mencoba hal baru, dia tidak pernah takut gagal. Orang 2: Jalan mati lagi dicoba, ini pula jalan binasa.",orang yang sangat berani tak takut menghadang bahaya.,Adik perempuan Orang 1 tidak terlalu berani.,Adik Orang 1 sangat berani.,1.0,b
Bagai mendapat gunung intan,"Orang 1: Apa kabar? Orang 2: Karena saya baru saja mendapat kenaikan gaji! Orang 1: Wah, merasa bagai mendapat gunung intan!",sangat girang.,Orang 1 sangat bersemangat untuk Orang 2.,Orang 1 tidak terlalu bersemangat untuk Orang 2.,1.0,a
"Rendah gunung, tinggi harapan","Orang 1: Apa yang kamu harapkan dari karirmu di masa depan? Orang 2: Saya ingin menjadi CEO suatu perusahaan besar. Orang 1: Wow, itu sangat ambisius. Tapi apakah kamu yakin bisa mencapainya? Orang 2: Selama saya bekerja keras. Kamu tahu, rendah gunung, tinggi harapan.",- sedemikian tingginya harapan sehingga gunungpun terlihat lebih rendah dibanding harapan tersebut.,Orang 2 tidak terlalu percaya diri bahwa mereka akan menjadi CEO.,Orang 2 sangat percaya diri bahwa mereka akan menjadi CEO.,0.0,b
"Kalau pandai mencencang akar, mati lalu ke puncaknya","Orang 1: Bagaimana bisa menghentikan kejahatan yang dilakukan para mafia? Orang 2: Kalau pandai mencencang akar, mati lalu ke puncaknya.","bila dapat menguasai pimpinannya, anak buahnya tak akan berdaya lagi.",Mafia dapat dikendalikan dengan menyingkirkan pemimpinnya.,Mafia dapat dikendalikan dengan menyingkirkan semua jajaran yang lebih rendah.,1.0,a
"Adat sepanjang jalan, cupak sepanjang betung","Orang 1: Jangan berpakaian seperti itu di kampung ini. Orang 2: Terserah sama aku pakaian apa yang aku pakai.  Orang 1: Ingat pepatah Adat sepanjang jalan, cupak sepanjang betung.",Setiap perbuatan ada aturannya sendiri.,Orang 2 seharusnya tidak mengikuti aturan desa.,Orang 2 harus mengikuti aturan desa.,1.0,b
"Enggang lalu, atal jatuh, anak raja mati ditimpanya","Orang 1:  Kenapa kamu dituduh mencuri di toko itu? Kamu kan hanya sedang lewat di depannya. Orang 2: Ya, tapi sayangnya enggang lalu, atal jatuh, anak raja mati ditimpanya.",orang yang dituduh melakukan suatu kejahatan karena kebetulan berada di tempat kejadian perkara.,"Orang 1 tidak bersalah karena mencuri, tetapi hanya berada di tempat yang salah pada waktu yang salah.",Orang 1 bersalah karena mencuri.,1.0,a
Air diminum serasa duri dapar berarti,"Orang 1:  Mengapa kamu sekarang kurus sekali. Orang 2: Pacar saya memutuskan hubungan.  Orang 1: Pantaslah, makan minum jadi tidak enak. Orang 2: Iya Air diminum serasa duri.",suasana hati yang sangat bersedih.,Orang 2 tidak terlalu sedih.,Orang 2 sangat sedih.,1.0,b
"Diam di bandar tak meniru, diam di laut asin tidak","Orang 1:  Saya kesulitan memanfaatkan lingkungan sekitar saya, saya dikelilingi oleh orang-orang pintar, tetapi saya kesulitan belajar dari mereka... Orang 2: Kamu seperti peribahasa Diam di bandar tak meniru, diam di laut asin tidak.",tetap saja bodoh; orang yang tidak memanfaatkan kesempatan untuk belajar walaupun tinggal di kota.,Orang 1 tidak pintar.,Orang 1 cerdas.,1.0,a
Tahan jerat sorong kepala,"Orang 1: Aku sudah bilang jangan main-main dengan api, tapi kamu tetap merokok di sebelah bahan mudah terbakar.  Orang 2: Ah, aku tidak di sebelah persis, masih ada jarak beberapa meter. Aku tidak akan tahan jerat sorong kepala.",mencelakakan diri sendiri.,Orang 2 tidak melukai diri mereka sendiri.,Orang 2 menyakiti diri mereka sendiri.,1.0,b
"Anjing diberi makan nasi, bilakah kenyang","Orang 1: Aku sudah memberikan bonus besar-besaran kepada karyawan, tapi mereka masih mengeluh dan minta lebih banyak. Orang 2: Anjing diberi makan nasi, bilakah kenyang.","orang yang loba, rakus dan tamak tidak pernah puas dengan keuntungan yang diperolehnya.",Karyawan yang serakah adalah hal yang sangat umum.,Karyawan yang serakah adalah hal yang mengejutkan.,1.0,a
Belum bergigi hendak mengunyah,"Orang 1: Aku tidak suka dengan sifatnya yang sok perintah sana perintah sini.  Orang 2: Betul, belum bergigi hendak mengunyah.",belum mempunyai kekuasaan sudah hendak bertindak.,Orang 1 memenuhi syarat untuk mengubah perintah.,Orang 1 belum memenuhi syarat untuk mengubah perintah.,1.0,b
Sebagai abu di atas tanggul,Orang 1: Apa yang kamu pikirkan tentang jabatanmu sekarang? Orang 2: Aku merasa bagai abu di atas tanggul.,Orang yang tidak tetap kedudukannya.,Orang 2 tidak merasa posisinya saat ini stabil.,Orang 2 merasa posisinya saat ini stabil.,1.0,a
Tahu di angin berkisar,"Orang 1: Bagaimana pendapatmu tentang situasi ini? Orang 2: Tenang, saya sudah memikirkannya Orang 1: Baiklah, kamu tahu di angin berkisar.",orang yang arif lekas mengerti segala sesuatu dan cepat mengambil keputusan.,Orang 2 tidak memahami situasinya.,Orang 2 memahami situasi dan mengendalikannya.,1.0,b
Bagai keluang bebar petang,Orang 1: Kamu kemana saja tadi siang? Saya mencarimu di mana-mana.  Orang 2: Saya pergi ke pasar dengan teman-teman. Kami bagai keluang bebar petang ya.,"berduyun-duyun, banyak sekali berkeliaran kesana kemari.",Orang 2 pergi ke berbagai tempat dengan teman-temannya.,Orang 2 hanya berada di satu tempat dengan teman-temannya.,1.0,a
"Luka di kaki, sakit seluruh badan","Orang 1: Kenapa kamu begitu marah pada orang itu? Orang 2: Dia telah menyakiti saudara saya. Luka di kaki, sakit seluruh badan.",seorang yang disakiti / dihina maka yang merasakan adalah seluruh keluarga / sanak saudara.,Orang 2 marah karena orang tersebut adalah teman.,Orang 2 marah karena orang tersebut menyakiti keluarganya.,0.0,b
Kapal besar ditunda jongkong,Orang 1: Kenapa perusahaan ini bangkrut? Orang 2: Itu karena pimpinannya seperti kapal besar ditunda jongkong.,- atasan yang menurut saja diatur oleh bawahannya.,Perusahaannya bangkrut karena atasannya terlalu mendengarkan bawahannya.,Perusahaan bangkrut karena bosnya tidak kompeten.,1.0,a
"Rupa boleh diubah, tabiat dibawa mati","Orang 1: Kenapa sih kamu masih suka marah-marah seperti anak kecil? Sudah dewasa kok masih kayak gitu.  Orang 2: Maaf ya, saya orangnya memang begini tidak bisa diubah. Orang 1: Tapi kamu bisa berusaha untuk mengubahnya, kan? Orang 2: Rupa boleh diubah, tabiat dibawa mati.",- tabiat/kelakuan buruk sejak masa kecil itu biasanya sukar sekali untuk diubah setelah dewasa.,Orang mungkin dapat mengubah perilaku mereka.,Orang 2 mungkin tidak dapat mengubah perilaku yang mereka miliki sejak kecil.,0.0,b
Tabuhan meminang anak laba-laba,"Orang 1: Orang tuaku tidak menyetujui perjodohanku dengan dia karena menurut mereka dia bukan anak dari keluarga ningrat. Orang 2: Oh, berarti orang tuamu menilai perjodohan kalian bagai tabuhan meminang anak laba-laba.",perjodohan yang tak seimbang karena tidak sederajat.,Perjodohan yang dilakukan adalah perjodohan yang sama sekali tidak cocok.,Perjodohan itu adalah sebuah perhitungan yang baik.,1.0,a
"Mahal tak dapat dibeli, murah tak dapat diminta;","Orang 1: Saya ingin membeli mobil mewah tapi harganya sangat mahal.  Orang 2: Itu namanya mahal tak dapat dibeli, murah tak dapat diminta.",perihal sesuatu yang sulit diperoleh.,Orang 1 mungkin bisa membeli mobil mewah.,Orang 1 tidak mungkin bisa membeli mobil mewah.,0.0,b
"Siapa cepat boleh dapat, siapa kemudian putih mata","Orang 1: Saya ingin mendapatkan tiket konser itu, tapi saya masih menunggu-nunggu diskonnya.  Orang 2: Kamu harus sering-sering mencek kapan mereka memberi diskon karena biasanya mereka menerapkan siapa cepat boleh dapat, siapa kemudian putih mata.","- yang dahuluan datang itulah yang lebih dahulu mendapat pertolongan, yang datang belakangan boleh jadi tidak memperoleh apa-apa.",Orang 1 harus bertindak cepat jika mereka ingin mendapatkan tiketnya.,Orang 1 harus terus menunggu untuk mendapatkan tiket.,1.0,a
"Adat periuk berkerat, adat lesung berdedak","Orang 1: Adik kamu sering sekali melakukan kesalahan dalam pekerjaannya. Orang 2: Adat periuk berkerat, adat lesung berdedak.","tidak ada manusia yang sempurna, pasti ada kelebihan dan kekurangan.",Tidak masalah jika adik perempuan orang 1 melakukan kesalahan.,Tidak masalah jika adik perempuan orang 1 melakukan kesalahan sesekali.,0.0,b
Akal akar berpulas tak patah,"Orang 1: Adik perempuanku meyakinkan manajernya, dan sekarang manajernya membiarkannya memimpin sebuah proyek kecil.  Orang 2: Adik kamu seperti peribahasa akal akar berpulas tak patah.",orang yang pandai tak akan mudah terkalahkan dalam perdebatan.,Adik perempuan orang 1 mungkin pintar.,Adik perempuan orang 1 mungkin tidak pintar.,1.0,a
Bagai aur dengan tebing,Orang 1: Adik saya dan temannya elalu saling membantu. Orang 2: Mereka bagai aur dengan tebing.,saling tolong menolong; saling membantu.,Tidak lazim bagi adik perempuan orang 1 dan temannya untuk saling membantu.,Adalah hal yang biasa bagi adik perempuan orang 1 dan temannya untuk saling membantu.,1.0,b
Air udik sungai semua teluk diranai,"Orang 1: Adik saya tidak bisa berhemat. Jika dia punya uang, apapun dibelinya. Orang 2: Mengapa dia begitu? Dia harus bisa memilih apa yang dia perlunan. Orang 1: Entahlah. Air udik sungai semua teluk diranai.","orang boros yang ketika sedang mempunyai uang, semuanya hendak dibeli; tidak memilih.",Adik perempuan orang 1 tidak bisa menabung karena dia menghabiskan uangnya untuk membeli banyak barang.,"Sistem orang 1 tidak dapat menabung, meskipun ia telah membelanjakan uangnya dengan hati-hati.",1.0,a
Bagai ayam lepas bertaji,"Orang 1: Aku ingin membantu adikku yang sedang bermasalah. Tapi susah juga karena nanti aku ikut bermasalah. Orang 2: Ingatlah, bagai ayam lepas bertaji.","serba berbahaya; dilepas berbahaya, ikut dicampuri juga berbahaya.",Tidaklah berbahaya bagi orang 1 untuk membantu adiknya.,Mungkin berbahaya bagi orang 1 untuk membantu adiknya.,1.0,b
Hampa berat menjadi sekam,"Orang 1: Aku punya begitu banyak uang, tapi aku tidak tahu harus membeli apa lagi. Orang 2: Kamu harus bersyukur dengan apa yang sudah kamu miliki. Ingatlah, hampa berat menjadi sekam.","karena banyaknya sesuatu yang dimiliki, maka tidak peduli kalau ada yang tersia-sia ataupun yang hilang dari padanya.",Orang 1 tidak boleh menganggap remeh kekayaan mereka.,Tidak masalah bagi orang 1 untuk menerima kekayaan mereka begitu saja.,1.0,a
Anjing galak berani babi,"Orang 1: Aku takut melawan mereka, mereka terlihat sangat berani.  Orang 2: Tidak usah takut, anjing galak berani babi.",bertemu lawan yang sama-sama berani.,Orang 1 seharusnya khawatir jika ada kesempatan untuk melawan seseorang yang begitu berani.,Orang 1 harus menikmati kesempatan untuk melawan seseorang yang begitu berani.,1.0,b
"Coba-coba bertanam mumbang, siapa tahu jadi kelapa","Orang 1: Aku takut mencoba karena takut gagal. Orang 2: Coba-coba bertanam mumbang, siapa tahu jadi kelapa.",tetap berusaha walaupun peluang keberhasilan tidaklah besar.,Orang 1 harus tetap mencoba meskipun mereka mungkin gagal.,Orang 1 tidak boleh mencoba karena mereka mungkin akan gagal.,1.0,a
Anak anjing bolehkah menjadi anak musang jebat,Orang 1: Anak Charlie ditangkap karena korupsi. Orang 2: Anak anjing bolehkah menjadi anak musang jebat.,anak orang hina dina dapatkah menjadi orang baik-baik?,Tidak mengherankan jika putra Charlie ditangkap.,Agak mengejutkan bahwa putra Charlie ditangkap karena dia tidak terlihat seperti penjahat.,1.0,b
"Genting menanti putus, biang menanti tembuk","Orang 1: Apa kabar dengan situasi di perbatasan? Orang 2: Tidak baik, banyak insiden keamanan dan ketegangan antara kedua negara semakin meningkat. Genting menanti putus, biang menanti tembuk.","keadaan yang sudah kritis, misalnya sebentar lagi pecah perang; sebentar lagi cerai suami-istri.",Situasi di perbatasan berada pada titik kritis.,Situasi di perbatasan hampir selesai.,0.0,a
Tahu di angin turun naik,"Orang 1: Apa kamu yakin cuaca akan cerah besok? Orang 2: Percayalah, kalo melihat pergerakan awan, besok pasti cerah. Orang 1: Ok, aku percaya kamu tahu di angin turun naik.","pandai melihat gelagat, sehingga tahu apa yang akan terjadi",Orang 2 mungkin salah tentang cuaca besok.,Orang 2 mungkin benar tentang cuaca besok.,1.0,b
Adakah dari telaga yang jernih mengalir air yang keruh?,Orang 1: Apa pendapatmu tentang orang yang suka bersumpah serapah? Orang 2: Adakah dari telaga yang jernih mengalir air yang keruh?,adakah dari mulut orang yang baik keluar perkataan-perkataan yang keji?,Orang 2 mungkin percaya bahwa orang yang mengumpat adalah orang jahat.,Orang 2 mungkin percaya bahwa bersumpah atau tidaknya seseorang tidak berpengaruh pada bagaimana mereka sebagai pribadi.,1.0,a
Adat lama pusaka usang,Orang 1: Apa pendapatmu tentang proses ngaben di Bali? Orang 2: Bagiku sich seperti adat lama pusaka usang.,Adat atau kebiasaan yang tetap atau tidak berubah sejak dahulu hingga sekarang.,Proses di Bali sepertinya tidak akan berubah dalam waktu dekat.,Proses di Bali kemungkinan akan berubah sekarang.,1.0,b
Awak rendah sangkutan tinggi,Orang 1: Apa yang membuatmu khawatir tentang situasi keuangan kita? Orang 2: Awak rendah sangkutan tinggi.,besar belanja atau pengeluaran daripada pendapatan/penghasilan.,Orang 1 khawatir tentang biaya yang besar.,Orang 1 khawatir dengan pendapatan mereka yang rendah.,0.0,a
Bagai denai gajah lalu,Orang 1: Apa yang terjadi dengan kebun ini?  Orang 2: Ada kerusuhan yang terjadi tadi malam. Bagai denai gajah lalu.,; kerusakan yang besar.,Kebunnya tidak rusak.,Kebunnya rusak parah.,0.0,b
"Siapa yang kena cubit, itulah yang merasa sakit","Orang 1: Apa yang terjadi?  Orang 2: Ya, kan dia bersalah, jadi dia harus menanggung akibatnya. Siapa yang kena cubit, itulah yang merasa sakit.","Hal yang sudah pasti, dan tidak perlu diberi tahu.",Sudah pasti dia bersalah.,Tidak sepenuhnya yakin bahwa dia bersalah.,1.0,a
"Bukan air muara yang ditimba, sudah disauk dari hulunya","Orang 1: Apakah kamu yakin berita itu benar? Orang 2: Bukan air muara yang ditimba, sudah disauk dari hulunya.","Bukan hanya merupakan kabar bohong, tetapi berita yang berasal dari sumbernya.",Orang 2 cukup yakin bahwa berita itu benar.,Orang 2 tidak yakin bahwa berita itu benar.,1.0,b
Elok berarak di hari panas,"Orang 1: Ayo kita berpesta ria malam ini! Orang 2: Tapi uangku sedang terbatas. Orang 1: Jangan dipaksakan, elok berarak di hari panas.",bersenang-senang/berpesta ria baru pada tempatnya bila orang tersebut mampu melakukannya.,Orang 2 tidak perlu berpesta jika tidak ingin.,Orang 2 harus berpesta meskipun ia tidak benar-benar menginginkannya.,1.0,a
"Tertangku sama makan tanah, terlentang sama minum air","Orang 1: Bagaimana kabarmu? Orang 2: Baik-baik saja. Tertangku sama makan tanah, terlentang sama minum air.",sama-sama senang dan sama-sama susah,Orang 2 melakukan hal yang lebih buruk daripada kebanyakan orang.,Orang 2 melakukan hal yang sama seperti orang lain.,1.0,b
"Ijuk selembang, tali di situ, keluan di situ","Orang 1: Bagaimana keadaan keluarga Pak Surya? Orang 2: Kurang baik, ijuk selembang, tali di situ, keluan di situ.",pencaharian tidak mencukupi padahal tanggungan banyak.,Pak Surya harus bertanggung jawab atas perjuangan keluarganya.,Pak Surya seharusnya tidak bertanggung jawab atas perjuangan keluarganya.,1.0,a
"Ayam berinduk, sirih berjunjung","Orang 1: Dalam proyek ini, kita bekerja bersama. Orang 2: Bagaimana jika saya tertinggal? Orang 1: Tidak masalah, ayam berinduk, sirih berjunjung.",kalau bekerja bersama-sama sebaiknya ada yang memimpin.,Tidak perlu memimpin proyek.,Orang 1 harus memimpin proyek ini.,1.0,b
Adakah duri dipertajam,Orang 1: Dapatkah kamu membantu Surya untuk proyeknya? Orang 2: Seperti kata pepatah adakah duri dipertajam?,apakah ada orang yang menolong untuk memperkuat musuhnya?,Orang 2 mungkin bermusuhan dengan Surya.,Orang 2 tidak bermusuhan dengan Surya.,1.0,a
"Angin yang berputar, ombak yang bersabung","Orang 1: Hidup saya penuh dengan masalah yang datang bertubi-tubi. Angin yang berputar, ombak yang bersabung.  Orang 1: Ya, memang sulit ketika kita sedang dihadapkan pada situasi seperti itu.",kesukaran yang maha hebat.,Orang 1 sedang menghadapi beberapa kesulitan kecil.,Orang 1 menghadapi banyak kesulitan yang signifikan.,1.0,b
"Alang berjawab, tepuk berbalas","Orang 1: Jangan suka berbuat jahat kepada orang lain, selalu berusaha untuk berbuat baik.  Orang 2: Benar apa katamu, alang berjawab, tepuk berbalas.","kebaikan dibalas dengan kebaikan, kejahatan dibalas dengan kejahatan.",Orang 1 mungkin akan dihargai karena berusaha melakukan kebaikan dan menghindari kejahatan.,Orang 1 tidak akan dihargai karena berusaha melakukan kebaikan dan menghindari kejahatan.,0.0,a
"Dekat mencari induk, jauh mencari suku","Orang 1: Kalau di perantauan, teman sesuku pun jadi seperti saudara. Orang 2: Ya, dekat mencari induk, jauh mencari suku.","ketika tempat merantau masih dekat maka yang menjadi saudara adalah orang yang seinduk dengan kita, namun apabila tempat merantau sudah jauh maka orang sesukupun sudah cukup jadi saudara.",Orang 2 tidak setuju bahwa teman adalah seperti keluarga ketika berada di luar negeri.,"Orang 2 setuju bahwa ketika berada di luar negeri, teman menjadi keluarga.",1.0,b
Jerat halus kelindan sutera,"Orang 1: Kamu harus hati-hati dengan orang itu, dia terkenal licik. Orang 2: Tenang saja, aku sudah tahu. Jerat halus kelindan sutera.",tipu muslihat yang sangat halus.,Orang 2 setuju bahwa orang itu benar-benar licik.,Orang 2 tidak setuju bahwa orang itu licik.,1.0,a
"Cium tapak tangan, berbau atau tidak","Orang 1: Kamu selalu mengkritik orang lain tanpa memikirkan dirimu sendiri!  Orang 2: Cium tapak tangan, berbau atau tidak.",periksa diri sendiri dahulu sebelum mengkritik orang lain.,Orang 2 tidak boleh mengintrospeksi diri sendiri sebelum mengkritik orang lain.,Orang 2 harus merefleksikan diri sendiri sebelum mengkritik orang lain.,1.0,b
Alah sabung menang sorak,"Orang 1: Kamu tadi kalah dalam pertandingan bulutangkis ya? Orang 2: Iya, tapi itu bukan berarti aku tidak bisa menang di lain waktu. Orang 1: Wah, alah sabung menang sorak.","Walaupun sudah kalah, namun masih juga berani menyombongkan diri.",Orang 2 seharusnya tidak terlalu menyombongkan diri karena baru saja kalah.,Orang 2 masih bisa menyombongkan diri meskipun baru saja kalah.,1.0,a
Hulu malang pangkal celaka,Orang 1: Kenapa dia selalu sial ya? Orang 2: Karena dia tidak pernah memperbaiki akar masalahnya. Hulu malang pangkal celaka.,asal-mula kesialan tersebut.,Dia tidak boleh mencoba untuk menyelesaikan sumber kesialan yang dialaminya.,Dia harus mencoba menyelesaikan sumber kesialannya.,1.0,b
"Ada uang abang sayang, tak ada uang abang melayang","Orang 1: Kenapa istri kamu ingin bercerai?  Orang 2: Karena saya tidak lagi bekerja dan menghasilkan uang.  Orang 1: Mengapa dia berbuat seperti itu?  Orang 2: Ada uang abang sayang, tak ada uang abang melayang.","kalau orang yang dicintai/dikasihi dapat rezeki maka orang tersebut akan dikasihi, dibelai, dimanja dan kalau rezeki berkurang dan tidak ada penambahan bahkan tidak ada maka orang tersebut tidak lagi dihiraukan (tidak disayang, dimanja lagi).",Istri orang 2 terlalu peduli dengan keuangan mereka.,Istri orang 2 tidak terlalu peduli dengan keuangan mereka.,0.0,a
Hidung dicium pipi digigit,"Orang 1: Kenapa kamu meninggalkan kekasihmu? Orang 2: Karena cintanya itu, hidung dicium pipi digigit.",kasih sayang semu.,Kekasih orang 2 benar-benar mencintai mereka.,Kekasih orang 2 tidak benar-benar mencintai mereka.,1.0,b
"Harap pada yang ada, cemas pada yang tidak ada","Orang 1: Kenapa kamu selalu khawatir tentang masa depan? Orang 2: Saya takut tidak punya cukup uang untuk hidup nanti. Orang 1: Tapi kamu memiliki pekerjaan yang stabil dan penghasilan yang cukup. Harap pada yang ada, cemas pada yang tidak ada.",orang yang tidak memiliki kesabaran.,Orang 2 harus lebih bersabar tentang keuangan mereka.,Orang 2 seharusnya tidak bersabar dengan keuangan mereka.,0.0,a
"Yang untut lain, yang mengasut lain","Orang 1: Kenapa kamu tidak suka dengan bos kita? Orang 2: Dia selalu memperlakukan semua karyawan dengan cara yang berbeda-beda. Orang 1: Memangnya bagaimana? Orang 2: Yang untuk lain, yang mengasut lain.","lain yang sakit, lain yang terasa pedih",Orang 2 tidak percaya bahwa tidak masalah jika atasan memperlakukan orang yang berbeda secara berbeda.,Orang 2 percaya bahwa tidak masalah jika atasan memperlakukan orang yang berbeda secara berbeda.,0.0,b
"Asal ada, kecil pun pada","Orang 1: Mengapa Anda bekerja di kantor itu? Orang 2: Saya menyukainya. Orang 1: Bukankah itu sangat kecil? Orang 2: Asal ada, kecil pun pada",Lebih baik mendapat sedikit daripada tidak sama sekali.,Orang 2 berpikir bahwa kantor yang kecil masih lebih baik daripada tidak memiliki kantor.,Orang 2 menganggap kantornya terlalu kecil.,0.0,a
"Adat menyabung, adat gelanggang","Orang 1: Mengapa kita harus mengikuti aturan aturan adat yang sudah tidak relevan lagi? Orang 2: Adat menyabung, adat gelanggang.",peraturan.,Peraturan mungkin tidak diikuti karena sudah tidak relevan lagi.,Aturan tetaplah aturan dan harus diikuti.,0.0,b
Habis manis sepah dibuang,"Orang 1: Pacarku meninggalkanku setelah mengambil semua uangku. Orang 2: Oh, habis manis sepah dibuang.",dibuang setelah tidak dipakai lagi.,Orang 1 dimanfaatkan dan kemudian ditinggalkan.,Orang 1 tidak dimanfaatkan.,1.0,a
Ikan terkilat jala tiba,"Orang 1: Saya bingung bagaimana cara menyelesaikan masalah ini.  Orang 2: Jangan khawatir, Ikan terkilat jala tiba.","orang yang arif dan bijaksana, cepat mengerti akan maksud/duduk perkara orang lain dan cepat pula memberi jawaban/jalan keluarnya dengan tepat.",Orang 2 tidak tahu bagaimana cara menyelesaikan masalah.,Orang 2 tahu bagaimana cara menyelesaikan masalah.,1.0,b
"Adat teluk timbunan kapal, adat gunung tepatan kabut","Orang 1: Saya ingin belajar tentang investasi, siapa yang sebaiknya saya tanya? Orang 2: Kan ada pepatah mengatakan adat teluk timbunan kapal, adat gunung tepatan kabut.","bila meminta hendaknya kepada orang yang kaya, dan bila bertanya hendaknya kepada orang pandai.",Orang 1 harus bertanya pada orang yang pintar.,Orang 1 harus bertanya kepada seseorang yang berpengalaman.,1.0,a
Jerih menentang laba,"Orang 1: Saya ingin cepat kaya tanpa usaha yang berat. Orang 2: Jika kamu mau bersusah payah terlebih dahulu, pasti ada imbalan yang akan diharapkan. Jerih menentang laba.","jika orang mau bersusah payah terlebih dahulu, pasti ada imbalan yang akan diharapkan.",Orang 1 harus lebih fokus pada uang daripada usaha.,Orang 1 harus lebih fokus pada usaha daripada uang.,0.0,b
Arang tersapu dimuka,"Orang 1: Saya malu, ibu saya tahu kalau saya tidak masuk sekolah hari ini. Orang 2: Makanya jangan suka berbohong. Kalau ketahuan Arang tersapu dimuka.",beroleh malu.,Orang 1 seharusnya merasa malu.,Orang 1 seharusnya tidak malu.,1.0,a
Jangat liat kurang panggang,"Orang 1: Saya mencoba mengajari dia, tapi... Orang 2: Jangat liat kurang panggang.",tak dapat diajar karena sangat keras kepala.,Orang tersebut tidak terlalu keras kepala untuk belajar.,Orang tersebut terlalu keras kepala untuk belajar.,1.0,b
"Sekali air besar, sekali tepian berubah","Orang 1: Tiap 5 tahun kurikulum pendidikan kita berubah total. Kapan bisa desain kurikulum yang pasti? Orang 2: Biasa, sekali air besar, sekali tepian berubah.","setiap ada pergantian pemimpin, (selalu) ada pergantian atau perubahan aturan.",Kurikulum berubah karena memang sudah waktunya untuk diperbarui.,Kurikulum berubah karena adanya pergantian kepemimpinan.,1.0,b
Alah limau oleh benalu,"Orang 1: Ya Tuhan, itu lagi tetanggamu Surya! Orang 2: Dia sepert alah limau oleh benalu.",orang yang menyusahkan atau merugikan hidup orang tempat dia menumpang.,Tetangganya mungkin orang yang jahat.,Tetangganya bukan orang yang jahat.,1.0,a
"Ada aku dipandang hadap, tiada aku dipandang belakang","Orang 2: Saya tidak pernah menceritakan hal yang jelek tentang kamu kepada orang lain. Ini pasti ada yang salah. Orang 1: Kamu selalu memuji-muji saya waktu kita bertemu. Bukankah kamu seperti ada aku dipandang hadap, tiada aku dipandang belakang?","Bila sedang berhadapan bermulut manis, tetapi bila berbelakang lain perkataannya.",Orang 2 tidak mengatakan sesuatu yang buruk di belakang Orang 1.,Orang 2 mungkin mengatakan sesuatu yang buruk di belakang Orang 1.,0.0,b
Angan lalu paham tertumbuk,"Orang 1: Saya selalu memiliki banyak ide bisnis, sekarang saya pikir saya siap melakukannya. Orang 2: Angan lalu paham tertumbuk.","menurut hemat pikiran dapat dilakukan, namun ketika pelaksanaannya ternyata tidak mudah, sehingga kehilangan akal.",Orang 1 mungkin akan berhenti mengerjakan ide bisnis mereka ketika keadaan menjadi sulit.,"Orang 1 akan mengerjakan ide bisnis mereka, tidak peduli seberapa sulitnya keadaan.",0.0,a
